1,293,23
2,281,36
3,186,29
4,290,56
5,93,9
6,224,9
7,161,39
8,80,39
9,121,38
10,55,20
11,118,5
12,230,15
13,217,25
14,99,85
15,258,60
16,60,16
17,286,44
18,87,42
19,140,86
20,126,48
21,126,23
22,217,82
23,212,1
24,179,20
25,156,60
26,191,86
27,4,51
28,91,31
29,77,75
30,191,46
31,71,12
32,169,47
33,149,10
34,210,54
35,170,83
36,258,39
37,199,84
38,299,87
39,94,11
40,174,62
41,296,77
42,176,53
43,140,35
44,18,94
45,138,60
46,99,92
47,208,53
48,299,18
49,121,81
50,242,1
51,229,58
52,132,65
53,108,27
54,54,61
55,195,22
56,123,33
57,107,11
58,100,90
59,200,6
60,71,92
61,51,24
62,44,33
63,11,49
64,214,31
65,271,2
66,92,5
67,278,94
68,204,53
69,258,76
70,287,64
71,158,48
72,126,63
73,192,66
74,3,87
75,108,17
76,142,58
77,53,39
78,145,18
79,106,64
80,16,99
81,32,15
82,255,67
83,22,24
84,61,97
85,259,20
86,31,42
87,294,30
88,104,88
89,246,18
90,52,61
91,243,2
92,53,57
93,143,100
94,270,81
95,80,98
96,85,34
97,295,26
98,132,26
99,104,28
100,172,57
101,108,94
102,72,84
103,272,7
104,85,81
105,268,66
106,18,16
107,191,46
108,266,35
109,239,47
110,140,14
111,284,13
112,277,37
113,55,20
114,85,54
115,251,13
116,154,20
117,230,50
118,85,90
119,49,99
120,107,68
121,5,19
122,85,23
123,112,90
124,182,93
125,75,67
126,196,59
127,142,9
128,301,96
129,166,91
130,108,48
131,245,50
132,51,91
133,93,15
134,84,96
135,206,22
136,212,12
137,167,23
138,284,76
139,221,31
140,172,37
141,16,53
142,125,60
143,200,11
144,116,56
145,201,55
146,293,78
147,86,18
148,278,75
149,2,62
150,115,81
151,234,12
152,172,61
153,121,53
154,145,49
155,96,6
156,264,19
157,293,96
158,133,63
159,54,10
160,197,68
161,292,92
162,235,93
163,258,76
164,212,36
165,194,42
166,80,86
167,76,11
168,264,2
169,196,21
170,67,11
171,188,45
172,64,66
173,64,99
174,248,93
175,235,10
176,164,97
177,144,33
178,73,47
179,134,81
180,286,21
181,108,57
182,179,87
183,152,34
184,265,48
185,252,24
186,288,15
187,74,19
188,21,67
189,65,42
190,216,37
191,38,62
192,113,46
193,25,82
194,139,51
195,169,89
196,142,28
197,251,89
198,179,30
199,288,59
200,291,51
201,105,83
202,293,89
203,89,4
204,216,100
205,42,30
206,252,80
207,35,93
208,58,17
209,267,32
210,117,53
211,35,85
212,154,90
213,202,77
214,123,22
215,152,70
216,41,79
217,50,63
218,243,73
219,106,96
220,98,60
221,146,85
222,163,18
223,281,79
224,7,66
225,282,73
226,122,11
227,192,12
228,64,17
229,50,72
230,264,93
231,77,85
232,223,69
233,248,10
234,90,78
235,20,89
236,12,66
237,259,73
238,53,12
239,212,33
240,73,48
241,46,73
242,106,36
243,74,39
244,277,61
245,176,42
246,218,4
247,251,28
248,177,13
249,185,21
250,215,47
251,78,69
252,86,97
253,301,18
254,18,4
255,117,45
256,161,14
257,179,45
258,173,53
259,252,98
260,296,41
261,197,59
262,77,89
263,42,28
264,78,56
265,138,17
266,264,60
267,93,31
268,25,45
269,226,90
270,43,83
271,206,26
272,150,4
273,250,70
274,150,82
275,122,70
276,229,12
277,45,100
278,7,66
279,46,99
280,222,82
281,11,12
282,80,73
283,242,83
284,284,32
285,288,62
286,152,4
287,301,19
288,37,13
289,297,71
290,122,41
291,85,26
292,202,12
293,214,86
294,76,60
295,175,62
296,92,49
297,124,80
298,278,38
299,255,83
300,81,82
301,216,57
302,113,1
303,219,50
304,183,26
305,169,14
306,240,73
307,219,74
308,153,48
309,188,27
310,169,34
311,202,10
312,32,3
313,39,99
314,262,6
315,204,19
316,301,7
317,31,27
318,284,37
319,106,37
320,132,63
321,193,29
322,86,96
323,165,62
324,205,45
325,7,22
326,244,30
327,253,82
328,269,97
329,160,86
330,37,21
331,85,19
332,115,63
333,1,5
334,216,35
335,176,37
336,125,46
337,286,38
338,104,73
339,22,96
340,231,63
341,12,36
342,74,94
343,138,57
344,164,47
345,80,78
346,259,82
347,255,94
348,119,84
349,137,79
350,82,38
351,294,17
352,102,71
353,23,46
354,175,32
355,115,8
356,25,28
357,95,84
358,86,61
359,203,57
360,183,90
361,38,77
362,263,2
363,55,55
364,230,72
365,116,25
366,178,37
367,93,66
368,138,79
369,104,94
370,84,21
371,142,34
372,83,51
373,206,79
374,259,53
375,245,82
376,134,25
377,131,97
378,239,65
379,73,25
380,168,6
381,254,46
382,257,57
383,172,21
384,263,19
385,141,74
386,127,100
387,288,75
388,270,84
389,248,6
390,267,8
391,146,67
392,104,42
393,52,8
394,287,85
395,251,20
396,212,20
397,136,76
398,31,34
399,90,57
400,288,5
401,106,70
402,265,37
403,19,20
404,26,48
405,24,28
406,86,61
407,217,62
408,253,78
409,122,70
410,10,100
411,110,91
412,284,48
413,65,98
414,170,6
415,194,23
416,277,36
417,143,3
418,61,15
419,44,56
420,141,66
421,200,25
422,142,92
423,211,45
424,104,32
425,66,51
426,206,57
427,32,88
428,64,78
429,63,93
430,17,72
431,132,7
432,255,12
433,185,54
434,62,92
435,185,23
436,111,22
437,118,86
438,215,36
439,298,88
440,139,91
441,191,67
442,17,74
443,225,62
444,185,58
445,176,79
446,74,81
447,117,65
448,132,37
449,75,94
450,150,82
451,158,10
452,69,34
453,292,24
454,46,23
455,82,36
456,54,65
457,176,29
458,214,19
459,283,62
460,276,51
461,27,87
462,173,14
463,30,58
464,230,54
465,132,32
466,259,100
467,234,26
468,82,89
469,201,46
470,224,83
471,128,32
472,135,61
473,144,73
474,4,71
475,67,67
476,123,23
477,121,69
478,191,77
479,152,84
480,254,10
481,223,74
482,74,81
483,251,15
